,code,date,sp,wp
13,600231,2016-09-14,-1.5122448979591836,-1.5049866115108237
0,600232,2016-09-01,-1.4623259623259623,-1.497285440049518
1,600232,2016-09-02,-1.552586206896552,-1.5087808118770332
2,600232,2016-09-03,-1.552586206896552,-1.5087808118770332
3,600232,2016-09-04,-1.552586206896552,-1.5087808118770332
4,600232,2016-09-05,-1.5060711188204683,-1.4984445900171062
5,600232,2016-09-06,-1.5069868995633189,-1.497029271614359
6,600232,2016-09-07,-1.474468085106383,-1.4865955415954044
7,600232,2016-09-08,-1.5077186963979416,-1.502776626915839
8,600232,2016-09-09,-1.4974337040205303,-1.497674589992529
9,600232,2016-09-10,-1.4974337040205303,-1.497674589992529
10,600232,2016-09-11,-1.4974337040205303,-1.497674589992529
11,600232,2016-09-12,-1.5317740511915268,-1.5261379807240572
12,600232,2016-09-13,-1.528130671506352,-1.5056812321222668
13,600232,2016-09-14,-1.5018181818181817,-1.5049866115108237
0,600233,2016-09-01,-1.5387387387387388,-1.497285440049518
1,600233,2016-09-02,-1.487544483985765,-1.5087808118770332
2,600233,2016-09-03,-1.487544483985765,-1.5087808118770332
3,600233,2016-09-04,-1.487544483985765,-1.5087808118770332
4,600233,2016-09-05,-1.499555357936861,-1.4984445900171062
5,600233,2016-09-06,-1.5176470588235293,-1.497029271614359
6,600233,2016-09-07,-1.498644374152734,-1.4865955415954044
7,600233,2016-09-08,-1.455939524838013,-1.502776626915839
8,600233,2016-09-09,-1.5118006993006994,-1.497674589992529
9,600233,2016-09-10,-1.5118006993006994,-1.497674589992529
10,600233,2016-09-11,-1.5118006993006994,-1.497674589992529
11,600233,2016-09-12,-1.54,-1.5261379807240572
12,600233,2016-09-13,-1.5036496350364963,-1.5056812321222668
13,600233,2016-09-14,-1.4016865487453725,-1.5049866115108237
0,600234,2016-09-01,-1.4921208141825344,-1.497285440049518
1,600234,2016-09-02,-1.5032938076416338,-1.5087808118770332
2,600234,2016-09-03,-1.5032938076416338,-1.5087808118770332
3,600234,2016-09-04,-1.5032938076416338,-1.5087808118770332
4,600234,2016-09-05,-1.4793548387096773,-1.4984445900171062
5,600234,2016-09-06,-1.4365558912386707,-1.497029271614359
6,600234,2016-09-07,-1.5134721371708513,-1.4865955415954044
7,600234,2016-09-08,-1.4896969696969695,-1.502776626915839
8,600234,2016-09-09,-1.519147621988882,-1.497674589992529
9,600234,2016-09-10,-1.519147621988882,-1.497674589992529
10,600234,2016-09-11,-1.519147621988882,-1.497674589992529
11,600234,2016-09-12,-1.5822192513368984,-1.5261379807240572
12,600234,2016-09-13,-1.4907284768211921,-1.5056812321222668
13,600234,2016-09-14,-1.4973579920739761,-1.5049866115108237
0,600235,2016-09-01,-1.4928172386272944,-1.497285440049518
1,600235,2016-09-02,-1.531275720164609,-1.5087808118770332
2,600235,2016-09-03,-1.531275720164609,-1.5087808118770332
3,600235,2016-09-04,-1.531275720164609,-1.5087808118770332
4,600235,2016-09-05,-1.4854014598540146,-1.4984445900171062
5,600235,2016-09-06,-1.508176614881439,-1.497029271614359
6,600235,2016-09-07,-1.4926948051948052,-1.4865955415954044
7,600235,2016-09-08,-1.4550387596899226,-1.502776626915839
8,600235,2016-09-09,-1.510971786833856,-1.497674589992529
9,600235,2016-09-10,-1.510971786833856,-1.497674589992529
10,600235,2016-09-11,-1.510971786833856,-1.497674589992529
11,600235,2016-09-12,-1.5382424735557365,-1.5261379807240572
12,600235,2016-09-13,-1.5224625623960066,-1.5056812321222668
13,600235,2016-09-14,-1.4975103734439834,-1.5049866115108237
0,600236,2016-09-01,-1.5,-1.497285440049518
1,600236,2016-09-02,-1.511111111111111,-1.5087808118770332
2,600236,2016-09-03,-1.511111111111111,-1.5087808118770332
3,600236,2016-09-04,-1.511111111111111,-1.5087808118770332
4,600236,2016-09-05,-1.5098176718092566,-1.4984445900171062
5,600236,2016-09-06,-1.5028129395218002,-1.497029271614359
6,600236,2016-09-07,-1.4847645429362881,-1.4865955415954044
