,code,date,sp,wp
7,000031,2016-09-07,-1.4980217606330366,invalid code
8,000031,2016-09-08,-1.5,invalid code
9,000031,2016-09-09,-1.498025666337611,invalid code
10,000031,2016-09-10,-1.498025666337611,invalid code
11,000031,2016-09-11,-1.498025666337611,invalid code
12,000031,2016-09-12,-1.5211693548387097,invalid code
13,000031,2016-09-13,-1.5216271884654995,invalid code
14,000031,2016-09-14,-1.5072614107883817,invalid code
0,000032,2016-08-31,-1.5060483870967742,invalid code
1,000032,2016-09-01,-1.4966510381781648,invalid code
2,000032,2016-09-02,-1.4986622073578595,invalid code
3,000032,2016-09-03,-1.4986622073578595,invalid code
4,000032,2016-09-04,-1.4986622073578595,invalid code
5,000032,2016-09-05,-1.4835526315789473,invalid code
6,000032,2016-09-06,-1.5106382978723405,invalid code
7,000032,2016-09-07,-1.4862295081967212,invalid code
8,000032,2016-09-08,-1.5026298487836949,invalid code
9,000032,2016-09-09,-1.4993429697766096,invalid code
10,000032,2016-09-10,-1.4993429697766096,invalid code
11,000032,2016-09-11,-1.4993429697766096,invalid code
12,000032,2016-09-12,-1.5569444444444445,invalid code
13,000032,2016-09-13,-1.489010989010989,invalid code
14,000032,2016-09-14,-1.4972602739726029,invalid code
0,000034,2016-08-31,-1.4883532837269493,invalid code
1,000034,2016-09-01,-1.4958118556701032,invalid code
2,000034,2016-09-02,-1.5127243066884177,invalid code
3,000034,2016-09-03,-1.5127243066884177,invalid code
4,000034,2016-09-04,-1.5127243066884177,invalid code
5,000034,2016-09-05,-1.5098846787479405,invalid code
6,000034,2016-09-06,-1.5340715502555367,invalid code
7,000034,2016-09-07,-1.5,invalid code
8,000034,2016-09-08,-1.494915254237288,invalid code
9,000034,2016-09-09,-1.4896008050989602,invalid code
10,000034,2016-09-10,-1.4896008050989602,invalid code
11,000034,2016-09-11,-1.4896008050989602,invalid code
12,000034,2016-09-12,-1.5368695652173912,invalid code
13,000034,2016-09-13,-1.5205892793752218,invalid code
14,000034,2016-09-14,-1.4866900175131348,invalid code
0,000036,2016-08-31,-1.5134078212290505,invalid code
1,000036,2016-09-01,-1.4966592427616925,invalid code
2,000036,2016-09-02,-1.5274599542334095,invalid code
3,000036,2016-09-03,-1.5274599542334095,invalid code
4,000036,2016-09-04,-1.5274599542334095,invalid code
5,000036,2016-09-05,-1.497716894977169,invalid code
6,000036,2016-09-06,-1.5022883295194507,invalid code
7,000036,2016-09-07,-1.4875706214689266,invalid code
8,000036,2016-09-08,-1.4640522875816993,invalid code
9,000036,2016-09-09,-1.502183406113537,invalid code
10,000036,2016-09-10,-1.502183406113537,invalid code
11,000036,2016-09-11,-1.502183406113537,invalid code
12,000036,2016-09-12,-1.4849462365591397,invalid code
13,000036,2016-09-13,-1.4810126582278482,invalid code
14,000036,2016-09-14,-1.5171673819742488,invalid code
0,000038,2016-08-31,-1.5048248374239563,invalid code
1,000038,2016-09-01,-1.4828865979381443,invalid code
2,000038,2016-09-02,-1.5191216642151713,invalid code
3,000038,2016-09-03,-1.5191216642151713,invalid code
4,000038,2016-09-04,-1.5191216642151713,invalid code
5,000038,2016-09-05,-1.5341156019122122,invalid code
6,000038,2016-09-06,-1.4918103448275863,invalid code
7,000038,2016-09-07,-1.4843020789138734,invalid code
8,000038,2016-09-08,-1.5,invalid code
9,000038,2016-09-09,-1.4903361344537815,invalid code
10,000038,2016-09-10,-1.4903361344537815,invalid code
11,000038,2016-09-11,-1.4903361344537815,invalid code
12,000038,2016-09-12,-1.5484581497797358,invalid code
13,000038,2016-09-13,-1.488030467899891,invalid code
14,000038,2016-09-14,-1.5139011473962931,invalid code
0,000039,2016-08-31,-1.4993011879804332,invalid code
1,000039,2016-09-01,-1.454,invalid code
2,000039,2016-09-02,-1.5423905489923557,invalid code
3,000039,2016-09-03,-1.5423905489923557,invalid code
4,000039,2016-09-04,-1.5423905489923557,invalid code
5,000039,2016-09-05,-1.5148095909732018,invalid code
6,000039,2016-09-06,-1.5,invalid code
7,000039,2016-09-07,-1.4936930623686056,invalid code
8,000039,2016-09-08,-1.4958129797627355,invalid code
9,000039,2016-09-09,-1.5077355836849506,invalid code
10,000039,2016-09-10,-1.5077355836849506,invalid code
11,000039,2016-09-11,-1.5077355836849506,invalid code
12,000039,2016-09-12,-1.5208183776022972,invalid code
13,000039,2016-09-13,-1.5108853410740204,invalid code
14,000039,2016-09-14,-1.5007262164124908,invalid code
0,000040,2016-08-31,-1.5043731778425655,invalid code
1,000040,2016-09-01,-1.4963689179375455,invalid code
2,000040,2016-09-02,-1.5147383935151069,invalid code
3,000040,2016-09-03,-1.5147383935151069,invalid code
4,000040,2016-09-04,-1.5147383935151069,invalid code
5,000040,2016-09-05,-1.5187687687687688,invalid code
6,000040,2016-09-06,-1.5144706778370145,invalid code
7,000040,2016-09-07,-1.4909433962264151,invalid code
8,000040,2016-09-08,-1.4902840059790732,invalid code
9,000040,2016-09-09,-1.5113378684807257,invalid code
10,000040,2016-09-10,-1.5113378684807257,invalid code
11,000040,2016-09-11,-1.5113378684807257,invalid code
12,000040,2016-09-12,-1.4992447129909365,invalid code
13,000040,2016-09-13,-1.4962377727614748,invalid code
14,000040,2016-09-14,-1.474340175953079,invalid code
0,000042,2016-08-31,-1.5005002501250626,invalid code
1,000042,2016-09-01,-1.4960139511709019,invalid code
2,000042,2016-09-02,-1.5136363636363637,invalid code
3,000042,2016-09-03,-1.5136363636363637,invalid code
4,000042,2016-09-04,-1.5136363636363637,invalid code
5,000042,2016-09-05,-1.4934771700953338,invalid code
6,000042,2016-09-06,-1.5040302267002519,invalid code
7,000042,2016-09-07,-1.4890383657199802,invalid code
